item1,value,item2,level
1,1,1,word2vec
1,0.3049268774333396,2,word2vec
1,0.03859574657465074,3,word2vec
1,-0.052008619195831364,4,word2vec
1,0.6293599882721223,5,word2vec
1,0.02871348956766111,6,word2vec
1,0.16809801944699534,7,word2vec
1,0.23807051939940366,8,word2vec
1,0.2188542786188603,9,word2vec
1,-0.0381427697034222,10,word2vec
1,-0.0844817279541057,11,word2vec
1,-0.026193467569216124,12,word2vec
1,-0.006085350348685483,13,word2vec
1,0.0027890647099891117,14,word2vec
1,-0.0235380956339867,15,word2vec
1,0.019409837419927863,16,word2vec
1,-0.1081582598198097,17,word2vec
1,0.04852238883976392,18,word2vec
1,-0.14447900952124726,19,word2vec
1,-0.14253038339587004,20,word2vec
1,-0.08901968529898543,21,word2vec
1,-0.12535455274511198,22,word2vec
1,-0.22834510223479304,23,word2vec
1,-0.09290641253098109,24,word2vec
1,-0.26280404363344784,25,word2vec
1,-0.0698324901130522,26,word2vec
1,-0.02706836301045892,27,word2vec
1,-0.09983013308455044,28,word2vec
1,-0.022476592407658473,29,word2vec
1,0.032709202406288204,30,word2vec
1,-0.024839893212131575,31,word2vec
1,-0.10743306582594743,32,word2vec
1,-0.029311422747392377,33,word2vec
1,0.015117635609203034,34,word2vec
1,0.2216721725711413,35,word2vec
1,0.24032656566910948,36,word2vec
1,-0.1317896927672741,37,word2vec
1,-0.1657411469787513,38,word2vec
1,-0.11497892165636618,39,word2vec
1,0.0129874761887892,40,word2vec
1,-0.08941882391663061,41,word2vec
1,-0.1200332294989371,42,word2vec
1,-0.09791222740246806,43,word2vec
1,-0.08168907968510825,44,word2vec
1,-0.026698037413481982,45,word2vec
1,0.01748065348865859,46,word2vec
1,0.07349665961990333,47,word2vec
1,-0.12927817362302904,48,word2vec
1,-0.10082595208388859,49,word2vec
1,-0.05287437076905395,50,word2vec
1,-0.10235781876605096,51,word2vec
1,-0.13992607806671994,52,word2vec
1,-0.05754211358644545,53,word2vec
1,-0.06965858743700956,54,word2vec
1,0.15684012247764914,55,word2vec
1,-0.11956186253137896,56,word2vec
1,-0.023864796157507178,57,word2vec
1,0.0807735557666027,58,word2vec
1,-0.028112559809413743,59,word2vec
1,0.034097251012083524,60,word2vec
2,0.3049268774333396,1,word2vec
2,1,2,word2vec
2,0.07793779576820525,3,word2vec
2,0.10392701731780093,4,word2vec
2,0.20605001345881233,5,word2vec
2,0.03311699934283028,6,word2vec
2,0.009659838216028479,7,word2vec
2,0.01635182886595386,8,word2vec
2,0.23772674050376622,9,word2vec
2,0.2004067597209637,10,word2vec
2,-0.04975318886346739,11,word2vec
2,-0.11548842307874173,12,word2vec
2,0.05622901779367608,13,word2vec
2,-0.00943603168627403,14,word2vec
2,-0.06103993192324859,15,word2vec
2,0.02643952869295923,16,word2vec
2,-0.11310557145420036,17,word2vec
2,-0.09950262786736218,18,word2vec
2,-0.08284332559262539,19,word2vec
2,-0.12958377294552748,20,word2vec
2,-0.012436295834188649,21,word2vec
2,-0.02730282496924192,22,word2vec
2,-0.11793575628053742,23,word2vec
2,-0.09259243285193393,24,word2vec
2,-0.08084605724665064,25,word2vec
2,-0.13929501645092573,26,word2vec
2,-0.0911157630136396,27,word2vec
2,0.004965288226097606,28,word2vec
2,0.08819863785106047,29,word2vec
2,-0.07986711080222875,30,word2vec
2,0.02766440540733848,31,word2vec
2,-0.007197020889550929,32,word2vec
2,0.00720759627209196,33,word2vec
2,0.019468466785108166,34,word2vec
2,-0.05956577739778031,35,word2vec
2,0.05393972804254217,36,word2vec
2,-0.12993759900848537,37,word2vec
2,-0.08165253890973907,38,word2vec
2,-0.12199114187177056,39,word2vec
2,-0.1327020498339559,40,word2vec
2,-0.0784292906649456,41,word2vec
2,-0.15414599722685982,42,word2vec
2,-0.09092386640203791,43,word2vec
2,-0.022293152495120705,44,word2vec
2,-0.058031057427696264,45,word2vec
2,0.020680980710395532,46,word2vec
2,-0.06669657930470575,47,word2vec
2,-0.04149933544737256,48,word2vec
2,0.01192261452266013,49,word2vec
2,-0.15183126019904392,50,word2vec
2,-0.07280483558007556,51,word2vec
